DATE,Day,Month,Year,Quarter,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,NO. OF  TRADES
30-Mar-26,Monday,March,2026,Q1,EQ,745.20,751.00,726.65,756.20,735.00,731.55,737.88,2037.70,726.65,103500135.00,787374.00
27-Mar-26,Friday,March,2026,Q1,EQ,773.20,774.90,754.55,782.30,757.95,756.20,761.30,2037.70,741.05,65485199.00,699107.00
25-Mar-26,Wednesday,March,2026,Q1,EQ,768.20,794.80,768.20,764.90,780.10,782.30,785.22,2037.70,741.05,59230640.00,628380.00
24-Mar-26,Tuesday,March,2026,Q1,EQ,755.00,772.75,747.70,744.15,766.50,764.90,761.63,2037.70,741.05,61269986.00,626314.00
23-Mar-26,Monday,March,2026,Q1,EQ,763.15,768.70,741.05,780.45,742.30,744.15,752.37,2037.70,741.05,72341738.00,872248.00
20-Mar-26,Friday,March,2026,Q1,EQ,785.00,793.75,778.20,798.20,781.00,780.45,784.12,2037.70,770.00,103129469.00,963682.00
19-Mar-26,Thursday,March,2026,Q1,EQ,770.00,815.65,770.00,843.05,800.00,798.20,801.78,2037.70,770.00,171637393.00,1439390.00
18-Mar-26,Wednesday,March,2026,Q1,EQ,845.35,846.80,831.60,845.35,842.00,843.05,840.38,2037.70,812.00,23507063.00,294181.00
17-Mar-26,Tuesday,March,2026,Q1,EQ,847.70,848.90,835.10,840.60,842.80,845.35,843.42,2037.70,812.00,38826979.00,457590.00
16-Mar-26,Monday,March,2026,Q1,EQ,817.00,844.50,815.65,817.00,838.80,840.60,832.00,2037.70,812.00,52182605.00,497371.00
13-Mar-26,Friday,March,2026,Q1,EQ,820.00,823.80,812.00,832.75,816.70,817.00,817.73,2037.70,812.00,41700464.00,542628.00
12-Mar-26,Thursday,March,2026,Q1,EQ,820.10,836.40,820.10,833.95,833.30,832.75,831.86,2037.70,820.10,46107561.00,683178.00
11-Mar-26,Wednesday,March,2026,Q1,EQ,845.00,848.85,827.60,849.45,834.40,833.95,834.32,2037.70,821.50,42261076.00,580385.00
10-Mar-26,Tuesday,March,2026,Q1,EQ,850.05,856.80,840.60,840.70,849.00,849.45,849.47,2037.70,821.50,52866024.00,475796.00
9-Mar-26,Monday,March,2026,Q1,EQ,825.00,842.45,821.50,857.05,839.10,840.70,833.63,2037.70,821.50,35592613.00,420429.00
6-Mar-26,Friday,March,2026,Q1,EQ,868.05,871.70,855.10,877.75,857.20,857.05,862.50,2037.70,848.00,34439647.00,706964.00
5-Mar-26,Thursday,March,2026,Q1,EQ,873.85,881.40,863.50,868.65,875.10,877.75,873.44,2037.70,848.00,31324582.00,281674.00
4-Mar-26,Wednesday,March,2026,Q1,EQ,848.00,879.30,848.00,879.40,869.00,868.65,866.00,2037.70,848.00,39862322.00,456224.00
2-Mar-26,Monday,March,2026,Q1,EQ,876.20,887.75,871.55,887.75,882.10,879.40,879.38,2037.70,871.55,38378924.00,401981.00
27-Feb-26,Friday,February,2026,Q1,EQ,898.60,898.95,885.00,898.60,887.45,887.75,889.69,2037.70,885.00,34620755.00,411801.00
26-Feb-26,Thursday,February,2026,Q1,EQ,912.00,912.00,895.00,907.60,896.00,898.60,901.32,2037.70,895.00,41165937.00,502649.00
25-Feb-26,Wednesday,February,2026,Q1,EQ,910.55,916.00,903.10,910.50,907.40,907.60,909.00,2037.70,901.00,27884303.00,323744.00
24-Feb-26,Tuesday,February,2026,Q1,EQ,927.95,927.95,909.15,923.60,911.50,910.50,915.33,2037.70,901.00,31313985.00,298283.00
23-Feb-26,Monday,February,2026,Q1,EQ,916.50,925.65,915.25,911.85,924.10,923.60,921.17,2037.70,901.00,23270122.00,228672.00
20-Feb-26,Friday,February,2026,Q1,EQ,911.00,917.85,908.40,915.60,913.15,911.85,913.52,2037.70,901.00,22654907.00,295931.00
19-Feb-26,Thursday,February,2026,Q1,EQ,929.00,929.20,912.45,924.70,914.30,915.60,918.86,2037.70,901.00,21209234.00,297364.00
18-Feb-26,Wednesday,February,2026,Q1,EQ,923.20,925.50,919.55,925.70,923.70,924.70,922.79,2037.70,901.00,12738702.00,217327.00
17-Feb-26,Tuesday,February,2026,Q1,EQ,923.00,928.10,918.60,925.80,926.45,925.70,925.32,2037.70,901.00,22599629.00,337196.00
